node_id,grid_id
1,41
2,41
3,22
4,22
5,63
6,63
7,27
8,27
9,27
10,2
11,3
12,80
13,80
14,27
15,27
16,28
17,28
18,36
19,36
20,16
21,16
22,60
23,60
24,17
25,17
26,56
27,56
28,56
29,43
30,43
31,43
32,14
33,14
34,33
35,33
36,22
37,21
38,18
39,18
40,19
41,8
42,8
43,27
44,27
45,41
46,36
47,39
48,39
49,39
50,90
51,90
52,41
53,41
54,75
55,75
56,39
57,39
58,63
59,63
60,63
61,57
62,57
63,41
64,41
65,41
66,42
67,42
68,42
69,63
70,63
71,23
72,23
73,60
74,60
75,16
76,16
77,75
78,75
79,23
80,23
81,23
82,23
83,23
84,42
85,42
86,57
87,57
88,58
89,17
90,17
91,51
92,51
93,51
94,56
95,51
96,58
97,58
98,60
99,60
100,75
101,75
102,7
103,7
104,11
105,11
106,12
107,12
108,12
109,53
110,53
111,16
112,16
113,16
114,54
115,54
116,8
117,13
118,22
119,23
120,22
121,17
122,17
123,52
124,51
125,53
126,53
127,14
128,14
129,67
130,67
131,18
132,18
133,3
134,3
135,13
136,13
137,13
138,54
139,54
140,51
141,51
142,48
143,48
144,41
145,40
146,57
147,57
148,32
149,32
150,42
151,42
152,42
153,13
154,13
155,30
156,30
157,48
158,48
159,61
160,61
161,75
162,75
163,75
164,52
165,52
166,38
167,38
168,26
169,26
170,40
171,40
172,22
173,22
174,21
175,20
176,46
177,46
178,22
179,22
180,22
181,41
182,41
183,27
184,27
185,27
186,36
187,36
188,17
189,17
190,85
191,85
192,85
193,37
194,37
195,37
196,47
197,47
198,18
199,18
200,18
201,18
202,38
203,38
204,50
205,50
206,22
207,22
208,80
209,80
210,26
211,26
212,81
213,81
214,81
215,57
216,57
217,19
218,19
219,13
220,18
221,52
222,52
223,57
224,46
225,46
226,22
227,22
228,8
229,8
230,8
231,8
232,8
233,13
234,18
235,18
236,80
237,80
238,31
239,31
240,31
241,39
242,39
243,39
244,13
245,13
246,13
247,14
248,14
249,14
250,17
251,17
252,17
253,38
254,38
255,59
256,59
257,63
258,64
259,63
260,8
261,8
262,26
263,26
264,7
265,7
266,7
267,57
268,57
269,27
270,27
271,47
272,47
273,48
274,48
275,28
276,28
277,28
278,57
279,57
280,57
281,96
282,96
283,31
284,31
285,51
286,51
287,51
288,39
289,39
290,42
291,42
292,42
293,57
294,62
295,57
296,62
297,62
298,58
299,58
300,67
301,67
302,13
303,13
304,18
305,18
306,18
307,21
308,21
309,37
310,37
311,90
312,91
313,41
314,41
315,17
316,17
317,17
318,17
319,53
320,53
321,48
322,49
323,48
324,18
325,18
326,18
327,55
328,55
329,55
330,80
331,80
332,37
333,37
334,18
335,19
336,63
337,63
338,85
339,85
340,28
341,28
342,38
343,38
344,81
345,81
346,11
347,11
348,42
349,42
350,58
351,58
352,41
353,41
354,41
355,41
356,51
357,51
358,61
359,61
360,61
361,21
362,21
363,21
364,75
365,75
366,24
367,24
368,42
369,42
370,48
371,48
372,48
373,38
374,38
375,38
376,38
377,61
378,61
379,27
380,26
381,26
382,26
383,16
384,16
385,16
386,13
387,13
388,28
389,33
390,28
391,27
392,27
393,27
394,12
395,12
396,12
397,90
398,90
399,51
400,51
401,80
402,80
403,80
404,23
405,23
406,14
407,14
408,14
409,24
410,24
411,13
412,13
413,33
414,33
415,23
416,23
417,23
418,13
419,13
420,7
421,7
422,7
423,7
424,58
425,58
426,28
427,28
428,71
429,71
430,8
431,8
432,61
433,13
434,13
435,13
436,58
437,58
438,58
439,51
440,51
441,52
442,52
443,31
444,31
445,53
446,53
447,52
448,52
449,42
450,42
451,42
452,14
453,14
454,14
455,53
456,53
457,52
458,52
459,27
460,27
461,57
462,56
463,57
464,41
465,41
466,31
467,31
468,57
469,57
470,8
471,8
472,8
473,81
474,81
475,46
476,46
477,91
478,91
479,46
480,46
481,46
482,62
483,62
484,3
485,3
486,24
487,24
488,40
489,40
490,62
491,63
492,62
493,44
494,44
495,28
496,28
497,8
498,8
499,8
500,71
501,71
502,32
503,32
504,36
505,36
506,37
507,37
508,50
509,50
510,50
511,31
512,31
513,62
514,62
515,81
516,81
517,13
518,13
519,35
520,35
521,35
522,53
523,53
524,8
525,8
526,3
527,3
528,63
529,63
530,21
531,21
532,48
533,48
534,48
535,13
536,13
537,50
538,50
539,21
540,21
541,28
542,28
543,50
544,50
545,61
546,61
547,61
548,12
549,12
550,16
551,16
552,7
553,7
554,7
555,66
556,66
557,52
558,52
559,57
560,57
561,28
562,28
563,53
564,53
565,33
566,33
567,8
568,3
569,95
570,95
571,31
572,9
573,9
574,85
575,85
576,71
577,71
578,27
579,27
580,27
581,57
582,57
583,55
584,55
585,60
586,60
587,51
588,56
589,51
590,57
591,57
592,56
593,56
594,56
595,66
596,66
597,66
598,75
599,75
600,3
601,3
602,26
603,26
604,24
605,24
606,8
607,8
608,61
609,61
610,19
611,19
612,14
613,14
614,53
615,53
616,60
617,60
618,36
619,36
620,66
621,66
622,65
623,27
624,26
625,22
626,22
627,33
628,33
629,50
630,33
631,33
632,46
633,46
634,42
635,42
636,19
637,19
638,90
639,90
640,90
641,23
642,23
643,23
644,71
645,71
646,28
647,28
648,19
649,19
650,12
651,12
652,72
653,72
654,61
655,61
656,31
657,31
658,22
659,95
660,95
661,2
662,2
663,38
664,37
665,38
666,21
667,21
668,38
669,38
670,7
671,13
672,13
673,13
674,32
675,32
676,17
677,17
678,31
679,30
680,33
681,33
682,33
683,14
684,14
685,38
686,39
687,38
688,3
689,3
690,38
691,38
692,38
693,32
694,32
695,76
696,38
697,38
698,31
699,31
700,31
701,24
702,24
703,66
704,66
705,13
706,14
707,13
708,21
709,41
710,41
711,14
712,14
713,71
714,71
715,71
716,70
717,70
718,33
719,33
720,53
721,53
722,53
723,43
724,43
725,33
726,33
727,33
728,38
729,38
730,45
731,45
732,22
733,22
734,31
735,31
736,44
737,49
738,67
739,67
740,85
741,85
742,85
743,30
744,30
745,38
746,38
747,45
748,45
749,80
750,80
751,36
752,36
753,91
754,90
755,91
756,55
757,55
758,55
759,55
760,55
761,36
762,36
763,7
764,7
765,81
766,81
767,86
768,33
769,33
770,56
771,66
772,66
773,41
774,41
775,37
776,37
777,50
778,50
779,47
780,47
781,23
782,23
783,23
784,43
785,43
786,53
787,54
788,2
789,2
790,2
791,53
792,53
793,53
794,47
795,47
796,17
797,17
798,66
799,66
800,42
801,42
802,12
803,12
804,12
805,75
806,75
807,19
808,19
809,58
810,59
811,43
812,43
813,43
814,63
815,63
816,39
817,39
818,13
819,13
820,12
821,43
822,43
823,32
824,32
825,3
826,3
827,3
